2025-10-30 10:53:05.289 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.295 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.303 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.304 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.306 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.306 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.307 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.308 | Uploaded: PASSING_RESTRICTION  201
2025-10-30 10:53:05.311 | Uploaded: SPEED_LIMIT 40 201
2025-10-30 10:53:05.319 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.319 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.320 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.323 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.343 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.354 | Uploaded: HIGHWAY_BEGIN  201
2025-10-30 10:53:05.368 | Uploaded: CITY_END  201
2025-10-30 10:53:05.389 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.390 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.392 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.406 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.408 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.419 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.419 | Uploaded: SPEED_LIMIT 40 201
2025-10-30 10:53:05.419 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.437 | Uploaded: SPEED_LIMIT 40 201
2025-10-30 10:53:05.437 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.439 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.450 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.451 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.466 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.472 | Uploaded: HIGHWAY_END  201
2025-10-30 10:53:05.529 | Uploaded: SPEED_LIMIT 40 201
2025-10-30 10:53:05.532 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.538 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.546 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.574 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.575 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.577 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.587 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.587 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.608 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.629 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.632 | Uploaded: HIGHWAY_END  201
2025-10-30 10:53:05.653 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.655 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.688 | Uploaded: SPEED_LIMIT 50 201
2025-10-30 10:53:05.688 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.697 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.703 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.706 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.706 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.713 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.727 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.735 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.736 | Uploaded: SPEED_LIMIT 80 201
2025-10-30 10:53:05.748 | Uploaded: SPEED_LIMIT 100 201
2025-10-30 10:53:05.748 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.748 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.760 | Uploaded: HIGHWAY_BEGIN  201
2025-10-30 10:53:05.763 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.774 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.802 | Uploaded: SPEED_LIMIT 60 201
2025-10-30 10:53:05.824 | Uploaded: SPEED_LIMIT 100 201
